Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
40459,1.125,0.403,1.079,2.778,-0.581,-0.399,-0.070,0.008,-0.213,0.539,-0.691,-0.022,-0.744,0.029,-0.593,0.208,-0.086,-0.715,-0.703,-0.214,-0.274,-0.715,0.131,0.664,0.311,-0.198,0.005,0.029,7.580,0
40462,-3.461,-2.013,1.311,-1.499,2.096,0.410,-1.370,1.169,-0.013,-1.337,1.438,1.335,-0.077,0.296,-0.109,-0.077,0.339,-1.900,-2.366,-0.441,0.142,0.147,-0.969,-1.167,-0.155,1.258,0.101,-0.654,4.380,0
40467,-0.693,-0.372,1.411,-0.895,-0.669,0.868,0.556,0.218,-1.777,0.123,1.656,0.214,0.347,-0.163,-0.127,-0.021,1.099,-1.808,1.193,0.613,0.321,0.649,0.281,-0.261,-0.017,-0.140,0.069,0.100,199.000,0
40468,-1.360,0.984,0.809,1.088,0.776,0.345,0.560,0.128,0.239,0.735,-1.195,0.153,0.532,-0.395,0.315,-1.052,0.223,-0.518,1.029,0.300,-0.277,0.196,0.046,-0.747,0.202,-0.198,0.291,-0.244,8.590,0
40469,-1.308,-0.508,1.738,-2.373,-1.393,-0.401,-0.793,0.588,-2.280,0.534,-0.714,-1.186,0.127,-0.236,0.539,-0.147,0.626,0.064,-1.347,-0.100,0.073,0.301,-0.056,0.048,0.379,-0.142,0.184,0.014,75.000,0
40469,1.100,-0.944,0.488,-2.101,-1.073,-0.102,-0.753,0.207,2.260,-1.522,1.263,1.523,-0.231,0.103,1.268,-0.849,-0.085,0.605,1.047,0.006,0.240,0.867,-0.235,-0.244,0.591,-0.614,0.105,0.025,66.820,0
40474,-1.441,-4.664,-0.336,1.260,-2.081,1.368,0.787,0.179,0.796,-0.900,1.265,1.181,-0.462,0.101,-0.317,-0.279,0.507,-0.714,-0.451,2.482,0.658,-0.801,-1.013,-0.165,-0.535,0.816,-0.252,0.224,1310.640,0
40479,1.116,0.170,0.688,0.715,-0.513,-0.796,0.095,-0.157,-0.124,-0.150,0.623,1.069,1.031,0.143,1.159,-0.179,0.003,-1.259,-0.694,-0.022,-0.165,-0.482,0.193,0.625,0.089,0.085,-0.013,0.029,34.990,0
40480,-0.560,0.258,1.836,0.335,0.192,-0.356,0.073,0.150,0.414,-0.746,-1.385,0.093,-0.049,-0.454,-0.576,0.206,-0.592,0.195,-0.731,-0.087,0.170,0.554,-0.218,0.048,0.272,-0.372,0.049,0.024,9.950,0
40484,-0.460,0.996,1.707,0.909,0.104,-0.618,0.914,-0.179,-0.926,-0.408,-0.187,0.554,1.264,0.042,1.035,-0.264,-0.219,-0.229,0.536,0.223,-0.090,-0.320,-0.099,0.393,0.435,-0.421,-0.000,-0.001,47.090,0
40484,-4.749,-2.338,1.245,1.678,-0.267,1.906,2.104,-1.764,2.459,2.743,1.918,0.264,-0.504,-2.215,0.350,-0.878,-0.376,-0.914,0.824,-3.187,-1.207,0.692,0.637,-0.177,-0.067,-0.539,-2.456,0.475,300.000,0
40486,-3.365,-3.975,0.354,1.106,5.302,-3.658,-2.172,0.347,-0.238,0.212,0.134,0.197,-1.125,1.058,-0.464,0.263,-0.973,0.745,-0.260,0.950,0.572,0.191,0.771,-0.401,-0.430,-0.613,0.028,0.302,2.990,0
40489,1.152,-0.071,1.002,1.365,-0.903,-0.329,-0.440,0.057,0.888,-0.155,-0.948,0.062,-0.697,-0.138,0.131,-0.063,-0.148,0.085,-0.231,-0.165,0.088,0.437,-0.141,0.392,0.625,-0.214,0.054,0.030,18.920,0
40491,0.724,-0.580,-0.029,1.349,-0.643,-0.900,0.494,-0.235,0.133,-0.075,-0.593,-0.439,-1.155,0.689,1.085,0.140,-0.349,0.050,-0.449,0.327,0.177,-0.113,-0.322,0.379,0.548,-0.353,-0.045,0.065,273.340,0
40492,0.560,-2.069,0.742,-0.015,-1.878,0.295,-0.675,0.113,0.097,0.215,-0.885,0.140,-0.094,-0.516,-0.155,-1.811,0.693,0.384,-0.838,0.206,-0.349,-1.102,-0.128,0.121,-0.192,0.904,-0.061,0.080,377.600,0
40496,1.193,-0.506,0.714,0.357,-0.808,0.411,-0.826,0.233,-0.984,0.964,0.902,0.375,0.064,0.238,0.671,-1.042,-0.427,1.736,-1.338,-0.504,-0.167,-0.043,-0.036,-0.346,0.323,-0.259,0.074,0.024,35.000,0
40496,-0.438,-0.180,1.640,-1.212,-0.610,0.945,-0.045,0.248,-1.577,0.295,0.826,-0.219,0.938,-0.380,0.710,1.135,0.066,-0.396,1.373,0.528,0.534,1.340,-0.142,-0.794,0.087,0.092,0.106,0.097,119.000,0
40499,-1.134,0.058,1.665,-2.289,-0.408,1.182,-1.143,1.050,-0.939,-0.081,-0.436,-0.941,-0.162,-0.229,0.460,2.407,-0.659,0.185,0.158,0.174,0.449,1.073,-0.507,-1.687,0.519,0.013,0.200,0.018,11.990,0
40499,-0.183,-2.058,-1.015,1.722,-0.276,0.361,1.235,-0.260,-0.038,-0.405,-1.093,0.356,0.513,0.320,0.354,-0.344,-0.138,-0.509,-0.412,1.369,0.393,-0.340,-0.883,-0.702,0.618,-0.260,-0.114,0.132,748.300,0
40500,1.102,-0.138,0.680,0.947,-0.657,-0.318,-0.173,0.015,0.613,-0.267,-0.300,0.579,-0.303,-0.104,-0.151,-0.743,0.498,-1.094,-0.303,-0.117,-0.023,0.140,-0.043,0.459,0.453,0.445,-0.006,0.015,36.000,0
40501,-1.979,-1.466,1.151,-0.796,2.558,-1.382,-0.584,0.183,-0.547,-0.497,0.234,0.675,0.849,0.186,-0.174,0.817,-1.206,0.578,0.216,0.624,0.274,0.081,0.046,-0.761,0.253,0.980,-0.102,0.110,34.790,0
40502,-1.831,0.505,1.865,1.122,-0.764,0.538,-1.024,1.169,0.432,-1.234,-1.356,1.413,1.048,-0.529,-1.342,-0.742,0.803,-0.467,-0.065,-0.318,0.270,0.972,-0.417,0.182,0.117,-0.171,-0.054,-0.161,25.120,0
40502,-0.833,0.765,2.184,-0.306,-0.038,0.384,0.138,0.439,-0.353,-0.304,1.016,0.005,-0.935,0.325,0.856,0.475,-0.515,0.320,-0.043,0.100,-0.030,-0.087,-0.196,-0.333,0.045,0.300,0.280,0.118,8.990,0
40503,-3.036,-1.869,2.016,0.725,0.350,0.709,0.222,0.481,0.120,-0.500,1.231,0.680,-0.432,-0.118,0.077,0.157,-0.328,-0.000,-1.364,0.210,0.272,0.762,0.168,-0.263,0.509,-0.258,0.262,0.359,377.000,0
40504,-0.926,-0.918,2.238,-2.460,-1.479,-0.458,-0.140,0.066,-2.559,0.670,1.110,-0.574,0.210,-0.397,-0.501,0.214,-0.065,0.891,-0.877,0.024,0.150,0.395,0.076,0.493,0.374,-0.241,0.004,0.072,148.000,0
40505,-3.204,-3.524,1.530,-0.686,0.967,-0.540,-2.093,1.104,-0.733,-0.396,0.960,0.923,0.404,-0.359,-1.516,0.632,0.930,-1.738,-0.170,0.998,0.609,0.518,0.204,-0.244,-0.449,-0.449,0.092,-0.410,109.760,0
40506,1.204,-0.009,0.518,0.379,-0.474,-0.329,-0.279,0.007,0.017,0.095,1.091,0.879,0.398,0.246,0.488,0.668,-0.855,0.553,0.054,-0.021,0.178,0.516,-0.156,0.083,0.463,0.594,-0.032,0.004,18.580,0
40508,1.219,0.141,-0.017,0.379,0.087,0.083,-0.202,0.204,0.023,-0.116,1.005,0.055,-1.124,0.168,0.846,0.647,-0.150,0.139,0.002,-0.168,-0.270,-0.841,0.078,-0.746,0.159,0.154,-0.020,0.007,0.990,0
40508,-10.786,-11.071,-1.073,3.506,-0.145,-1.674,0.096,-0.384,-0.269,1.140,0.402,0.596,1.704,-0.104,2.702,-0.667,0.251,0.982,-0.912,-1.719,-1.091,-0.910,-2.399,0.990,-0.219,-0.312,1.282,0.800,1017.500,0
40509,1.281,0.725,-0.932,1.128,1.001,0.089,0.172,-0.018,-0.094,-0.801,-0.752,-0.255,0.775,-1.843,1.425,0.873,0.794,0.731,-0.605,-0.036,-0.098,-0.132,-0.289,-1.465,0.811,-0.165,0.061,0.049,1.000,0
40515,1.260,-0.663,0.669,-0.742,-1.177,-0.612,-0.681,-0.046,-1.007,0.742,1.561,0.337,0.526,-0.093,0.173,1.502,-0.102,-0.967,0.795,0.210,0.077,-0.019,0.040,0.340,0.208,-0.435,0.007,0.024,58.630,0
40516,0.973,-0.790,0.882,-0.597,-1.347,-0.488,-0.568,0.080,1.880,-1.153,-0.032,0.694,-0.477,-0.030,1.569,-0.813,0.268,-0.132,-0.041,0.028,0.247,0.759,-0.152,0.445,0.455,-0.532,0.089,0.051,109.000,0
40518,-0.279,1.059,0.933,-0.126,0.368,-0.534,0.634,0.024,-0.218,-0.485,-1.095,-0.772,-0.522,-0.323,1.040,0.663,-0.251,0.230,0.230,0.085,-0.329,-0.907,-0.115,-0.541,-0.077,0.127,0.240,0.088,0.990,0
40518,-1.628,1.350,2.106,0.625,-0.803,0.729,-0.826,-2.406,0.975,0.619,-0.226,0.286,-0.274,-0.656,0.772,-0.824,0.655,-0.504,0.546,-0.384,2.307,-0.342,0.272,0.397,-0.646,0.356,-0.161,0.028,15.790,0
40531,1.066,0.225,1.023,2.361,-0.390,0.462,-0.500,0.360,-0.497,0.838,1.067,-0.131,-1.428,0.583,0.475,0.907,-0.651,0.325,-1.280,-0.240,0.207,0.501,-0.029,-0.009,0.282,0.113,0.015,0.014,10.650,0
40535,-0.224,0.859,0.934,0.309,-0.184,-0.522,0.587,-0.042,-0.058,0.092,-0.991,-0.836,-0.986,0.352,1.339,0.175,-0.317,0.025,0.782,0.081,-0.226,-0.641,0.101,-0.160,-0.616,0.126,0.180,0.127,41.770,0
40537,1.004,0.027,0.820,1.316,-0.605,-0.429,-0.062,0.006,0.113,-0.054,0.142,0.373,-0.111,0.316,1.381,0.044,-0.157,-0.726,-0.925,-0.040,-0.102,-0.440,0.124,0.349,0.145,-0.605,0.038,0.047,76.000,0
40542,-1.819,-1.257,2.176,-0.512,1.517,-1.232,-0.117,-0.059,0.509,-0.912,-1.217,0.553,0.847,-0.875,-1.173,0.480,-1.016,-0.157,-1.494,0.434,0.255,0.481,0.067,0.094,0.259,0.161,-0.177,-0.077,69.990,0
40543,-1.546,-5.484,-2.111,0.425,-1.838,0.471,1.681,-0.459,-1.110,0.083,-0.118,0.157,0.213,0.564,-0.428,-1.041,-0.295,1.828,-0.226,2.679,0.460,-1.632,-1.522,-0.721,-0.021,0.983,-0.369,0.245,1554.900,0
40544,1.202,0.036,0.754,1.361,-0.439,0.080,-0.263,0.012,0.849,-0.290,-1.365,0.878,0.710,-0.609,-0.971,-0.463,-0.052,-0.371,0.339,-0.099,-0.135,-0.001,-0.175,-0.068,0.788,-0.275,0.063,0.022,7.980,0
40544,0.190,0.971,1.809,3.074,-0.010,0.241,0.639,-0.227,-0.836,0.845,-0.651,0.501,1.326,-0.588,-0.141,-0.495,0.081,-0.485,1.087,0.264,-0.176,-0.135,0.330,0.397,-1.528,-0.298,0.137,0.051,38.030,0
40544,1.083,-0.139,0.840,1.248,-0.498,0.270,-0.389,0.027,0.569,-0.151,-1.239,0.749,1.552,-0.554,0.510,0.477,-0.798,0.330,-0.202,0.127,0.129,0.446,-0.273,-0.400,0.634,-0.202,0.061,0.043,80.000,0
40544,-0.822,-0.272,0.598,-3.173,1.610,3.451,-0.421,0.900,-1.312,-0.048,-0.413,-0.606,0.289,-0.170,0.822,-0.430,-0.861,1.438,-0.836,-0.293,-0.515,-1.347,-0.048,1.009,-0.004,1.122,-0.177,0.073,54.000,0
40549,-1.903,2.143,-0.013,-0.092,-0.739,-0.375,-0.541,1.496,-0.823,-0.449,1.359,1.347,0.487,0.545,0.329,0.601,0.506,-0.047,-0.235,0.026,-0.119,-0.518,0.167,-0.034,-0.082,0.100,0.108,0.006,8.910,0
40550,-0.615,1.173,1.743,-0.102,0.137,-0.559,0.929,-0.229,-0.263,0.125,0.428,0.684,1.101,-0.323,0.994,-0.345,-0.177,-1.095,-0.502,0.327,-0.248,-0.320,0.007,0.410,-0.245,0.053,0.237,-0.041,9.990,0
40551,-2.396,0.812,-0.975,-0.830,0.705,1.966,0.355,1.322,-0.264,-0.289,0.667,1.361,0.608,0.580,-0.236,-0.634,0.447,-1.637,-1.327,-0.430,0.029,0.765,0.374,-2.117,-0.283,0.506,0.485,0.041,121.540,0
40551,1.015,-1.859,0.576,-1.309,-1.839,0.049,-1.187,0.113,-1.823,1.468,1.339,-0.337,0.121,-0.147,0.461,-0.200,0.430,0.444,-0.573,0.053,0.139,0.327,-0.160,0.010,0.149,-0.111,0.023,0.049,218.000,0
40554,-0.387,1.015,0.928,0.610,0.756,-0.090,1.146,-0.481,-0.450,0.174,-1.151,-0.055,1.137,-0.190,1.040,-0.165,-0.733,0.280,0.820,0.090,0.067,0.429,-0.296,-0.577,-0.128,-0.327,-0.234,-0.056,42.400,0
40556,0.989,-0.263,0.203,1.168,-0.349,-0.221,0.037,-0.041,0.318,-0.008,-1.298,-0.560,-0.698,0.391,1.281,0.674,-0.798,0.324,-0.193,0.128,-0.056,-0.519,-0.187,-0.491,0.439,-0.439,-0.001,0.046,150.000,0
40559,1.197,0.345,0.286,1.131,-0.224,-0.940,0.305,-0.285,-0.141,-0.020,-0.256,0.614,0.799,0.236,0.835,0.014,-0.471,-0.245,-0.384,-0.043,0.052,0.179,-0.130,0.421,0.705,-0.334,0.014,0.026,29.000,0
40564,-1.918,1.079,1.974,1.636,-1.214,0.659,-1.893,-1.799,0.376,-0.856,-1.698,-0.345,-1.961,0.313,-0.196,-0.417,0.843,0.558,0.886,0.588,-1.106,1.045,-0.231,0.380,0.409,0.061,0.105,0.106,6.000,0
40565,-0.545,0.866,1.524,-0.241,0.323,0.356,0.414,0.384,-0.598,-0.219,1.679,0.585,-0.523,0.482,0.701,-0.176,-0.056,-0.711,-0.418,0.017,-0.125,-0.286,0.031,-0.318,-0.386,0.114,0.292,0.103,2.690,0
40566,1.202,-1.023,-0.120,-0.777,-0.731,-0.046,-0.492,-0.136,-0.632,0.605,-1.750,-0.497,0.937,-0.160,1.183,-0.668,-0.664,1.660,-0.464,-0.110,-0.248,-0.509,-0.285,-0.946,0.359,1.201,-0.070,0.023,151.220,0
40567,1.251,-0.111,0.554,0.566,-0.764,-0.698,-0.219,-0.070,0.841,-0.276,-0.884,0.059,-0.874,-0.043,-0.252,-0.356,0.182,-0.516,0.327,-0.173,-0.110,-0.092,-0.065,0.452,0.513,0.674,-0.038,0.004,1.000,0
40570,1.257,0.269,0.519,0.620,-0.453,-0.985,0.087,-0.225,-0.006,-0.076,-0.157,0.549,0.653,0.173,0.995,0.287,-0.442,-0.584,-0.122,-0.068,-0.252,-0.717,0.131,0.390,0.228,0.093,-0.027,0.020,3.590,0
40570,-1.395,1.619,0.680,-0.054,-0.163,-0.181,0.392,-2.541,-0.328,0.009,0.039,0.361,0.035,0.337,0.701,-0.484,0.259,-0.856,-0.500,-0.600,2.325,-0.381,0.323,0.400,-0.309,0.295,0.413,0.192,69.510,0
40571,-0.435,1.068,1.407,0.097,0.108,-0.716,0.637,0.034,-0.455,-0.561,0.342,0.243,0.281,-0.427,1.097,-0.017,0.392,-0.722,-0.574,0.099,-0.208,-0.498,0.062,0.355,-0.267,0.081,0.262,0.100,4.490,0
40576,1.536,-0.931,0.243,-1.437,-1.248,-0.724,-0.851,-0.268,-1.936,1.413,-0.783,-0.608,1.401,-0.497,0.515,-0.294,0.282,0.022,-0.066,-0.241,-0.232,-0.253,-0.045,-0.115,0.478,-0.179,0.033,0.019,23.280,0
40581,-1.471,0.969,1.609,-1.700,-0.216,-0.941,0.460,0.555,-0.551,-1.126,0.976,0.613,-0.591,0.580,-0.677,1.233,-1.010,-0.062,-1.164,-0.110,-0.219,-0.958,-0.050,0.294,0.224,0.234,0.035,0.016,22.000,0
40586,1.045,-0.203,-0.044,0.945,0.050,0.307,0.047,0.088,0.181,0.031,-0.021,0.429,-0.455,0.374,-0.323,0.418,-0.835,0.502,0.627,0.081,-0.176,-0.684,-0.226,-0.856,0.601,-0.468,0.000,0.021,113.190,0
40596,-5.528,3.624,-4.252,1.199,-2.921,-1.862,-2.229,3.626,-0.375,0.640,-1.751,1.236,0.055,2.931,0.599,0.514,1.324,0.145,0.076,0.030,0.235,0.134,-0.047,0.399,-0.244,-0.388,0.204,0.006,1.000,0
40598,1.090,-0.600,1.194,0.380,-1.522,-0.585,-0.665,0.093,1.371,-0.438,-0.720,0.003,-1.356,-0.269,-0.180,-0.149,0.338,-0.578,0.335,-0.067,-0.197,-0.484,0.092,0.766,0.031,0.921,-0.051,0.024,59.140,0
40601,-1.409,0.510,1.545,-0.117,0.117,-0.606,0.106,0.485,-0.152,-1.183,-1.516,0.068,-0.321,0.041,-0.906,-0.001,-0.038,-0.260,-0.115,-0.071,0.023,-0.105,-0.384,0.086,0.646,0.384,-0.117,-0.091,10.000,0
40602,-1.575,-0.075,1.498,2.612,1.159,-1.137,-0.064,-0.069,-0.901,0.890,-0.830,-1.057,-1.312,0.494,0.881,0.419,-0.325,-0.069,-0.034,-0.402,-0.151,-0.439,-0.105,0.352,-0.689,-0.213,-0.022,0.313,42.170,0
40603,1.140,-0.542,0.917,0.392,-0.832,0.745,-0.978,0.371,-0.953,0.913,1.412,0.625,0.091,0.208,0.883,-1.424,-0.035,1.234,-1.858,-0.560,-0.073,0.306,0.019,-0.327,0.228,-0.202,0.098,0.023,25.000,0
40605,-2.508,-0.752,-2.055,-1.345,-8.016,5.210,4.561,-5.718,1.715,-1.908,0.721,0.860,-0.307,0.055,0.789,1.381,-0.864,0.686,-0.004,-3.658,2.872,-1.901,-8.453,0.105,-0.020,-0.508,2.694,-0.628,2441.880,0
40607,0.271,-2.720,0.427,-0.080,-2.077,0.335,-0.620,0.174,0.087,0.347,0.319,-0.528,-1.560,-0.281,-1.104,1.181,0.434,-0.623,1.165,1.068,0.342,-0.189,-0.504,0.027,0.141,-0.294,-0.064,0.103,552.890,0
40612,-1.223,0.655,0.771,0.422,1.062,0.146,-0.113,0.571,-0.925,-0.829,-1.234,-0.151,0.908,-0.094,1.804,0.202,0.344,0.017,1.148,0.270,-0.185,-0.863,-0.261,-1.342,0.141,0.385,-0.050,-0.100,0.890,0
40621,0.054,1.253,1.657,3.059,-0.101,0.196,0.368,-0.051,-0.938,0.760,-0.697,0.707,1.557,-0.461,-0.189,-0.439,0.167,-0.504,1.092,0.111,-0.127,-0.141,0.286,0.407,-1.522,-0.282,0.182,0.267,9.130,0
40623,-2.455,1.488,-0.717,-1.976,-1.083,-0.907,-0.368,0.913,-0.308,1.812,0.303,-0.284,-0.971,0.211,-1.531,1.164,0.267,-0.874,0.404,0.537,0.136,0.681,-0.005,-0.014,0.116,-0.291,0.762,0.531,20.000,0
40623,-0.421,0.881,2.813,1.247,-0.373,0.514,0.026,-0.091,-0.138,0.123,-0.663,0.021,1.398,-0.642,2.335,0.025,-0.467,0.990,1.270,0.330,0.254,1.014,-0.429,-0.085,0.140,0.019,-0.123,-0.126,9.000,0
40625,-0.699,0.530,0.916,-0.805,-0.855,-0.387,-0.333,0.546,-1.815,0.681,1.685,-0.250,-0.694,0.606,0.603,0.613,0.980,-1.546,1.700,0.189,-0.118,-0.603,0.225,0.165,-0.395,-0.518,0.041,0.008,25.850,0
40626,-0.572,-0.865,2.144,-1.753,-1.235,0.450,-0.861,0.392,-2.378,1.153,0.753,-1.556,-1.286,0.006,0.844,-0.380,0.690,0.814,0.595,-0.068,-0.090,-0.159,0.048,-0.388,-0.097,-0.126,0.085,0.074,74.820,0
40627,0.992,-0.446,1.780,1.841,-1.346,0.531,-0.895,0.255,1.564,-0.439,-1.310,1.266,0.709,-1.259,-1.692,-0.557,0.266,-0.323,0.153,-0.008,-0.027,0.362,-0.152,0.455,0.569,-0.233,0.105,0.050,59.940,0
40629,1.333,0.389,-2.166,-0.307,2.641,2.808,-0.172,0.683,-0.298,-0.652,0.418,-0.322,-0.143,-1.155,1.158,0.878,0.537,0.713,0.007,0.054,-0.207,-0.692,-0.119,0.891,0.730,0.384,-0.028,0.036,0.760,0
40629,0.940,0.033,0.949,2.347,-0.260,0.938,-0.529,0.500,-0.482,0.778,1.274,-0.142,-1.649,0.668,0.755,0.626,-0.350,-0.130,-1.643,-0.201,0.231,0.495,-0.014,-0.322,0.162,0.110,0.022,0.018,52.490,0
40632,1.415,-1.227,0.660,-1.549,-1.461,0.179,-1.437,0.172,-1.815,1.552,1.086,-0.321,0.392,-0.261,0.433,-0.142,0.291,0.481,-0.389,-0.318,0.002,0.389,-0.031,-0.307,0.273,-0.072,0.061,0.012,22.700,0
40634,0.994,-0.194,0.717,1.416,-0.718,-0.274,-0.138,0.114,0.703,-0.200,-0.471,-0.134,-1.725,0.317,0.255,-0.573,0.415,-0.894,-0.442,-0.157,-0.197,-0.591,0.070,0.351,0.301,-0.538,0.034,0.037,76.060,0
40634,0.951,-0.646,0.909,-0.228,-0.165,2.115,-1.046,0.761,0.722,-0.447,1.843,1.803,0.707,-0.291,0.632,-0.843,0.718,-1.816,-0.921,-0.068,0.059,0.445,0.099,-1.234,-0.175,1.116,0.032,-0.005,39.950,0
40634,1.211,0.240,0.723,1.246,-0.597,-0.753,-0.120,-0.072,0.242,0.051,-0.512,-0.164,-0.633,0.362,1.175,0.400,-0.511,-0.008,-0.464,-0.180,-0.086,-0.268,0.041,0.330,0.388,-0.476,0.029,0.030,5.000,0
40636,-2.400,1.614,0.948,0.002,-1.255,-0.680,-0.689,1.420,-0.787,-0.515,0.931,0.891,-0.226,1.103,0.276,0.783,-0.085,0.620,0.096,-0.150,0.161,0.201,-0.015,0.550,0.376,0.373,-0.061,-0.143,2.780,0
40636,0.648,-1.083,1.027,0.999,-1.421,0.035,-0.412,0.187,0.854,-0.245,0.905,0.983,-0.764,-0.128,-1.004,0.087,-0.075,0.049,0.365,0.355,-0.005,-0.382,-0.140,0.583,0.086,0.320,-0.045,0.057,254.730,0
40640,-2.784,2.242,0.131,0.591,0.924,0.239,-5.016,-9.261,1.432,0.738,-0.791,0.698,-2.297,0.885,-0.664,-0.493,1.030,-0.942,-1.536,-2.458,9.140,-3.614,-1.843,0.362,-0.022,-0.486,0.742,0.449,7.170,0
40641,1.112,-0.769,-0.067,-0.268,-1.036,-1.041,-0.281,-0.227,-0.616,0.063,-0.175,-0.689,-0.106,-1.292,0.097,1.137,1.322,-1.202,0.624,0.369,0.004,-0.297,-0.136,0.308,0.419,-0.315,-0.006,0.063,155.100,0
40641,1.101,0.067,0.303,1.097,-0.256,-0.316,0.012,0.003,-0.149,0.214,0.909,0.508,-0.442,0.585,0.359,0.526,-0.835,0.598,-0.073,-0.035,0.092,0.123,-0.171,-0.004,0.588,-0.331,0.004,0.020,60.000,0
40647,1.246,-0.017,-0.071,-0.119,-0.139,-0.603,0.171,-0.185,-0.077,-0.119,1.092,1.435,0.907,0.141,-0.639,-0.086,-0.354,-0.276,0.769,0.038,-0.035,0.018,-0.170,0.135,0.584,1.119,-0.098,-0.016,25.200,0
40650,1.167,-0.913,0.367,-0.624,-0.998,-0.119,-0.666,0.131,-0.708,0.657,1.302,-0.161,-0.985,0.099,-0.373,0.744,0.610,-1.514,0.734,0.126,0.087,0.049,-0.032,0.020,0.313,-0.294,0.002,0.013,86.130,0
40651,1.135,0.022,0.350,1.423,-0.332,-0.220,-0.042,0.089,0.578,-0.076,-0.862,-0.485,-2.037,0.449,0.117,-0.632,0.373,-0.741,-0.360,-0.282,-0.115,-0.220,-0.052,0.043,0.593,-0.308,0.025,0.015,23.190,0
40652,0.577,1.436,-1.895,1.349,1.836,0.487,0.524,0.457,-0.639,-1.214,3.390,0.463,-0.258,-3.227,1.462,-0.236,3.773,0.054,-1.674,-0.025,0.025,0.449,0.194,-1.363,-0.803,-0.290,0.326,-0.010,0.890,0
40654,-4.156,-1.747,0.533,-1.172,-0.886,0.177,-0.764,1.002,-0.839,0.171,1.079,-0.156,-0.925,0.207,-0.307,1.190,0.818,-1.530,-0.205,-0.836,0.151,0.728,-0.072,-0.227,0.458,-0.204,-0.364,-0.101,56.000,0
40658,1.066,-1.330,1.056,-0.499,-1.650,0.381,-1.324,0.401,0.014,0.575,0.958,-0.521,-1.712,-0.210,-0.322,1.022,0.603,-1.009,0.593,0.133,0.238,0.477,-0.063,0.019,0.160,-0.189,0.036,0.027,110.500,0
40660,-0.730,0.868,1.257,0.144,-0.188,-0.117,0.340,0.185,0.686,0.021,-0.939,-0.328,-1.315,-0.160,-0.289,-0.740,0.386,-0.716,-0.088,0.043,-0.013,0.322,-0.027,0.088,-0.569,0.303,0.383,0.301,10.000,0
40661,-0.171,-2.566,0.401,0.726,-1.433,1.131,-0.085,0.349,0.874,-0.594,1.256,1.154,-0.579,-0.048,-0.400,-0.366,0.487,-0.849,-0.241,1.143,0.259,-0.454,-0.433,-0.199,-0.293,0.886,-0.127,0.109,653.250,0
40666,-0.930,-0.922,2.762,-1.528,-1.122,1.199,-0.155,0.368,-0.149,-0.234,0.261,-0.572,-1.348,-1.116,-1.955,0.773,0.467,-1.004,0.502,0.376,0.225,0.673,-0.055,-0.301,0.393,-0.200,-0.123,-0.163,153.000,0
40667,1.355,-0.725,1.369,-0.626,-1.727,-0.514,-1.291,0.010,-0.251,0.569,-0.253,-0.350,0.913,-0.728,1.259,1.679,-0.079,-0.700,0.098,0.130,0.440,1.263,-0.086,0.456,0.333,-0.045,0.061,0.034,9.990,0
40669,1.203,-1.052,0.397,-0.730,-1.182,-0.313,-0.785,-0.026,-0.343,0.562,-1.149,-1.278,-0.388,-0.220,1.152,1.714,-0.135,-0.796,0.692,0.307,0.132,-0.015,-0.158,-0.456,0.307,-0.257,0.001,0.038,133.500,0
40669,1.194,0.187,0.615,0.651,-0.482,-0.717,-0.030,-0.070,0.068,-0.101,0.243,0.391,-0.083,0.351,1.295,-0.070,-0.008,-1.058,-0.598,-0.156,-0.212,-0.596,0.210,0.386,0.090,0.105,-0.014,0.018,1.980,0
40674,-0.693,0.167,1.353,0.449,1.288,-0.926,0.581,-0.369,-0.477,-0.161,-0.845,0.316,1.046,-0.270,0.187,-0.714,-0.074,-0.345,1.164,0.375,0.017,0.210,-0.261,-0.020,0.169,0.610,-0.121,-0.106,0.000,0
40676,-0.364,1.148,1.131,-0.081,0.471,-0.267,0.729,0.020,-0.552,-0.595,-0.115,0.499,1.315,-0.652,1.046,0.142,0.090,-0.610,-0.323,0.179,-0.244,-0.547,-0.031,-0.307,-0.144,0.120,0.267,0.094,8.980,0
40676,-0.792,1.198,0.377,-0.146,1.623,0.011,0.930,0.033,-0.496,-1.197,-1.232,-0.735,0.059,-1.281,0.785,0.763,0.189,0.567,-0.937,-0.120,-0.016,-0.064,-0.392,-1.450,0.451,-0.373,-0.023,0.128,1.000,0
40678,-1.948,1.155,0.691,-0.295,1.036,1.627,0.627,0.077,0.844,0.947,1.606,0.735,-1.271,-0.261,-0.670,-1.410,0.382,-1.931,-2.130,-0.537,0.242,0.800,0.121,-1.057,-0.929,-0.727,-1.162,0.095,17.370,0
40679,1.224,0.267,0.651,0.699,-0.608,-1.167,0.108,-0.253,-0.044,-0.082,0.151,0.708,0.692,0.174,0.961,0.188,-0.329,-0.701,-0.247,-0.061,-0.227,-0.653,0.165,0.719,0.186,0.072,-0.027,0.025,8.980,0
40682,1.117,-0.919,0.611,-0.446,-0.674,1.187,-0.962,0.466,-0.307,0.316,0.242,0.452,-0.260,-0.180,0.632,-3.144,1.760,-1.376,-2.048,-0.631,-0.349,-0.207,0.199,-0.596,-0.077,1.162,0.029,-0.002,25.000,0
